,SrNo,System_Date_Time,IMEI_Number,Sim_Number,SIMCOM_Manufacturing_DATE,ESP_Name,ESP_Serial_Number,ESP_ManufacturingDate,Network_Timestamp,Body_Temperature,Heart_Rate,SpO2,accX,accY,accZ,gyroX,gyroY,gyroZ,Heading,Body_Activity,Jaw_Movement,AT_Ideal_Temperature,Location,Battery,Device_Status,Network_Timestamp,"Body_Activity
1- standing
0- sitting","Jaw_Movement
0- feeding
1- Head Move
2- Idle
3- Rumination"
1829,30814,2024-09-10 14:40:10,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:40:06",40.47,0,98.36,9.61,-0.96,2.09,-0.05,-0.01,-0.02,NE,Standing,3,37.865,"28.535815,77.567867",100,0,"24/09/10,14:40:06",1,0
1830,30815,2024-09-10 14:41:20,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:41:16",39.96,0,99.99,7.97,-5.61,1.37,-0.03,-0.02,0.02,E,Standing,3,37.865,"28.535810,77.567858",100,0,"24/09/10,14:41:16",1,0
1831,30816,2024-09-10 14:42:31,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:42:26",40.15,0,88.11,10.31,0.49,2.24,0.16,0.49,-0.31,E,Standing,3,37.865,"28.535830,77.567877",100,0,"24/09/10,14:42:26",1,0
1832,30817,2024-09-10 14:43:41,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:43:37",40.51,0,85.89,9,-2.28,2.66,-0.04,-0.01,0,E,Standing,3,37.865,"28.535823,77.567855",100,0,"24/09/10,14:43:37",1,0
1833,30818,2024-09-10 14:44:52,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:44:47",39.81,0,87.12,5.56,3.84,6.05,0.38,0.48,0.21,N,Standing,3,37.865,"28.535860,77.567782",100,0,"24/09/10,14:44:47",1,0
1834,30819,2024-09-10 14:46:02,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:45:58",37.81,33,100,4.69,3.91,6.75,-0.05,-0.01,0.02,E,Standing,2,37.865,"28.535860,77.567782",100,0,"24/09/10,14:45:58",1,0
1835,30820,2024-09-10 14:47:12,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:47:08",37.2,0,84.05,8.65,1.77,3.77,-0.43,0.11,-0.01,E,Standing,3,37.865,"28.535832,77.567762",100,0,"24/09/10,14:47:08",1,2
1836,30821,2024-09-10 14:48:23,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:48:18",37.91,0,84.71,8.53,4.04,3.58,-0.01,-0.05,0.08,E,Standing,3,37.865,"28.535838,77.567818",100,0,"24/09/10,14:48:18",1,2
1837,30822,2024-09-10 14:49:33,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:49:29",38.24,0,85.85,9.52,1.23,1.44,-0.96,-0.3,-0.45,N,Standing,1,37.865,"28.535890,77.567782",100,0,"24/09/10,14:49:29",1,2
1838,30823,2024-09-10 14:50:44,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:50:39",38.35,0,85.97,7.02,4.45,2.62,0.07,-0.1,-0.15,E,Standing,1,37.865,"28.535888,77.567712",100,0,"24/09/10,14:50:39",1,2
1839,30824,2024-09-10 14:51:54,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:51:50",38.66,0,86.44,-1.66,-2.78,8.06,-0.04,-0.06,0.01,N,Standing,2,37.865,"28.535900,77.567812",100,0,"24/09/10,14:51:50",1,2
1840,30825,2024-09-10 14:53:05,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:53:00",38.61,0,92.55,2.44,-4.28,-4.33,1.78,-0.24,-0.28,E,Standing,3,37.865,"28.535848,77.567815",100,0,"24/09/10,14:53:00",1,2
1841,30826,2024-09-10 14:54:15,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:54:10",39.4,0,97.93,9.92,-1.56,0.2,-0.05,0.03,-0.01,E,Standing,2,37.865,"28.535862,77.567843",100,0,"24/09/10,14:54:10",1,2
1842,30827,2024-09-10 14:55:25,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:55:21",39.65,0,88.58,10.14,-0.05,0.56,0.36,0.46,0.21,E,Standing,1,37.865,"28.535873,77.567832",100,0,"24/09/10,14:55:21",1,2
1843,30828,2024-09-10 14:56:36,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:56:31",39.85,0,98.24,9.94,-1.8,0.34,-0.11,0.02,0.01,E,Standing,1,37.865,"28.535833,77.567807",100,0,"24/09/10,14:56:31",1,2
1844,30829,2024-09-10 14:57:46,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:57:42",40.23,0,98.17,9.75,-1.86,0.65,0.02,0,0.04,E,Standing,3,37.865,"28.535880,77.567837",100,0,"24/09/10,14:57:42",1,2
1845,30830,2024-09-10 14:58:57,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,14:58:52",40.42,0,98.29,9.9,-0.72,0.64,-0.07,-0.01,0.01,E,Standing,3,37.865,"28.535845,77.567813",100,0,"24/09/10,14:58:52",1,2
1846,30831,2024-09-10 15:00:18,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:00:02",40.34,0,93.99,9.68,-1.74,1.08,-0.04,-0.01,0.01,E,Standing,1,37.865,"28.535875,77.567798",100,0,"24/09/10,15:00:02",1,2
1847,30832,2024-09-10 15:01:20,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:01:13",40.27,0,97.05,9.77,-2,0.66,-0.03,-0.01,0.01,E,Standing,3,37.865,"28.535702,77.567782",100,0,"24/09/10,15:01:13",1,2
1848,30833,2024-09-10 15:02:28,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:02:23",40.5,0,97.65,9.54,-2.47,1.01,-0.08,0.01,0.01,E,Standing,1,37.865,"28.535862,77.567865",100,0,"24/09/10,15:02:23",1,2
1849,30834,2024-09-10 15:03:38,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:03:34",40.71,0,98.63,9.85,-1.31,0.44,-0.09,0.04,0.01,E,Standing,1,37.865,"28.535878,77.567798",100,0,"24/09/10,15:03:34",1,2
1850,30835,2024-09-10 15:04:48,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:04:44",40.65,0,97.98,9.74,-2.24,0.02,-0.05,0.01,0.01,E,Standing,2,37.865,"28.535798,77.567763",100,0,"24/09/10,15:04:44",1,2
1851,30836,2024-09-10 15:06:04,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:05:54",40.44,0,90.66,9.78,-1.28,0.89,0.05,-0.02,0.02,E,Standing,2,37.865,"28.535890,77.567785",100,0,"24/09/10,15:05:54",1,2
1852,30837,2024-09-10 15:08:20,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:08:15",40.84,0,98.68,9.85,-1.11,0.71,-0.09,0.04,0,E,Standing,2,37.865,"28.535870,77.567758",100,0,"24/09/10,15:08:15",1,2
1853,30838,2024-09-10 15:09:30,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:09:26",40.89,0,98.85,9.86,-0.55,0.66,-0.04,0.02,0.01,E,Standing,2,37.865,"28.535847,77.567773",100,0,"24/09/10,15:09:26",1,2
1854,30839,2024-09-10 15:10:40,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:10:36",40.9,0,98.9,9.85,-1.16,0.46,-0.04,-0.01,0.04,E,Standing,2,37.865,"28.535825,77.567785",100,0,"24/09/10,15:10:36",1,2
1855,30840,2024-09-10 15:11:51,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:11:46",40.84,0,98.19,9.93,-0.73,0.25,-0.06,-0.01,0.01,E,Standing,2,37.865,"28.535772,77.567767",100,0,"24/09/10,15:11:46",1,2
1856,30841,2024-09-10 15:13:01,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:12:57",40.64,0,98.29,9.43,-2.4,1.95,-0.11,-0.01,0.01,E,Standing,2,37.865,"28.535868,77.567765",100,0,"24/09/10,15:12:57",1,2
1857,30842,2024-09-10 15:14:12,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:14:07",40.87,0,91.51,9.32,-2.39,1.74,-0.21,-0.02,0.01,E,Standing,2,37.865,"28.535868,77.567765",100,0,"24/09/10,15:14:07",1,2
1858,30843,2024-09-10 15:15:22,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:15:17",40.75,0,98.2,9.86,-1.73,0.29,-0.06,0.01,0,E,Standing,2,37.865,"28.535933,77.567828",100,0,"24/09/10,15:15:17",1,2
1859,30844,2024-09-10 15:16:33,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:16:27",40.68,0,93.47,9.8,-0.72,0.99,-0.04,0.01,0,E,Standing,2,37.865,"28.535867,77.567825",100,0,"24/09/10,15:16:27",1,2
1860,30845,2024-09-10 15:17:43,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:17:37",40.79,0,98.92,9.87,-1.67,0.36,-0.05,0,0.05,E,Standing,2,37.865,"28.535858,77.567812",100,0,"24/09/10,15:17:37",1,2
1861,30846,2024-09-10 15:18:53,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:18:48",40.84,0,98.96,9.85,-1.34,0.18,-0.03,0.01,0.02,E,Standing,2,37.865,"28.535793,77.567795",100,0,"24/09/10,15:18:48",1,2
1862,30847,2024-09-10 15:21:15,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:21:09",41.4,0,94.85,9.87,-1.56,0.44,-0.06,0.01,0.03,E,Standing,2,37.865,"28.535932,77.567902",100,0,"24/09/10,15:21:09",1,2
1863,30848,2024-09-10 15:22:25,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:22:20",41.23,0,97.82,9.96,-0.74,0.42,-0.02,0,-0.01,E,Standing,2,37.865,"28.535833,77.567800",100,0,"24/09/10,15:22:20",1,2
